呼号,卡片类型,寄出状态,寄出时间,收到状态,收到时间,补卡次数
"BG2MBC","EYEBALL","SENT","","RECEIVED","","0"
"BG9JYY","EYEBALL","SENT","","RECEIVED","","0"
"BI3SPP","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BG9JGN","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BI2RHX","EYEBALL","SENT","","RECEIVED","","0"
"BD7LBQ","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BI2RRA","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BH3SNE","EYEBALL","SENT","","RECEIVED","","0"
"BA4TMX","EYEBALL","SENT","","RECEIVED","","0"
"BG6HTY","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BI3SGI","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BA4TAY","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BI8SML","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BI4AXH","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BI4SID","EYEBALL","SENT","","RECEIVED","","0"
"BH3FRD","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BH4BXV","EYEBALL","SENT","","RECEIVED","","0"
"BG8LGF","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BG5EYK","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BA4RQO","EYEBALL","SENT","","RECEIVED","","0"
"BH3HRH","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BG5JQP","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BA4JPO","EYEBALL","SENT","","RECEIVED","","0"
"BI7CZK","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BD4VEM","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BI4TNK","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BH4HJR","EYEBALL","SENT","","RECEIVED","","0"
"BH6BRS","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BI7CEQ","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BA4QMP","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BA4QHC","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BH6BQJ","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BG5BUT","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BG4KJC","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BD1BIT","EYEBALL","SENT","","RECEIVED","","0"
"BI4ASX","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BA3MMA","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BA7JBV","EYEBALL","SENT","","RECEIVED","","0"
"BG7ZJL","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BD3PDN","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BG4GYZ","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BG5EWN","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BH8DDD","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BG4LDK","EYEBALL","SENT","","RECEIVED","","0"
"BG5JRK","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BG9SKA","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BI6PWL","EYEBALL","SENT","","RECEIVED","","0"
"BI4ALT","EYEBALL","SENT","","RECEIVED","","0"
"BG5WIV","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BI1LWV","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BG4KQI","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BH3GUC","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BM2EMV","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BG9JZZ","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BA3MEM","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BA4SOE","EYEBALL","SENT","","NOT_RECEIVED","","0"
"BA7OOR","EYEBALL","SENT","","RECEIVED","","0"
"BI1VOW","EYEBALL","SENT","","RECEIVED","","0"
