呼号,卡片类型,制作状态,寄出状态,收卡状态,发信时间,收信时间,补卡次数
"BG2MBC","EYEBALL","PRINTED","SENT","RECEIVED","","","0"
"BG9JYY","EYEBALL","PRINTED","SENT","RECEIVED","","","0"
"BI3SPP","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BG9JGN","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BI2RHX","EYEBALL","PRINTED","SENT","RECEIVED","","","0"
"BD7LBQ","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BI2RRA","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BH3SNE","EYEBALL","PRINTED","SENT","RECEIVED","","","0"
"BA4TMX","EYEBALL","PRINTED","SENT","RECEIVED","","","0"
"BG6HTY","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BI3SGI","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BA4TAY","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BI8SML","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BI4AXH","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BI4SID","EYEBALL","PRINTED","SENT","RECEIVED","","","0"
"BH3FRD","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BH4BXV","EYEBALL","PRINTED","SENT","RECEIVED","","","0"
"BG8LGF","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BG5EYK","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BA4RQO","EYEBALL","PRINTED","SENT","RECEIVED","","","0"
"BH3HRH","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BG5JQP","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BA4JPO","EYEBALL","PRINTED","SENT","RECEIVED","","","0"
"BI7CZK","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BD4VEM","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BI4TNK","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BH4HJR","EYEBALL","PRINTED","SENT","RECEIVED","","","0"
"BH6BRS","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BI7CEQ","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BA4QMP","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BA4QHC","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BH6BQJ","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BG5BUT","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BG4KJC","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BD1BIT","EYEBALL","PRINTED","SENT","RECEIVED","","","0"
"BI4ASX","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BA3MMA","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BA7JBV","EYEBALL","PRINTED","SENT","RECEIVED","","","0"
"BG7ZJL","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BD3PDN","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BG4GYZ","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BG5EWN","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BH8DDD","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BG4LDK","EYEBALL","PRINTED","SENT","RECEIVED","","","0"
"BG5JRK","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BG9SKA","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BI6PWL","EYEBALL","PRINTED","SENT","RECEIVED","","","0"
"BI4ALT","EYEBALL","PRINTED","SENT","RECEIVED","","","0"
"BG5WIV","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BI1LWV","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BG4KQI","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BH3GUC","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BM2EMV","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BG9JZZ","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BA3MEM","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BA4SOE","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BA7OOR","EYEBALL","PRINTED","SENT","RECEIVED","","","0"
"BI1VOW","EYEBALL","PRINTED","SENT","RECEIVED","","","0"
"BG0FFH","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BD1CNJ","EYEBALL","PRINTED","SENT","RECEIVED","","","0"
"BD3RQM","EYEBALL","PRINTED","SENT","RECEIVED","","","0"
"BI1PPA","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BD1DQI","EYEBALL","PRINTED","SENT","RECEIVED","","","0"
"BH1KOA","EYEBALL","PRINTED","SENT","RECEIVED","","","0"
"BD1DYI","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BI2QEY","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BI1FRJ","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BG9SHO","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BH6BOL","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BH6SNU","EYEBALL","PRINTED","SENT","RECEIVED","","","0"
"BG2GWS","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BA4JAE","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BD3QFF","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BA4SLH","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BH2VPQ","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BG4BPN","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BH6RFE","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BA4SUY","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BI3TPQ","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BH4SVO","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BG2HEG","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BG5JFW","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BD6KAM","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BI3SJN","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BI1TRT","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BI3AXL","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BG0FPB","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BD1DQG","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BD4TRG","EYEBALL","PRINTED","SENT","NOT_RECEIVED","","","0"
"BI1JNP","QSO","PRINTED","SENT","RECEIVED","","","0"
"BD1DSC","EYEBALL","PENDING_PRINT","NOT_SENT","RECEIVED","","","0"
"BG2MBC","QSO","PENDING_PRINT","NOT_SENT","RECEIVED","","2026-04-01T22:33:33.029050742+08:00","1"
"BG9JYY","LISTEN","PRINTED","SENT","NOT_RECEIVED","2026-04-01T22:33:33.020984176+08:00","","0"
"BI1KBU","EYEBALL","DRAFT","NOT_SENT","NOT_RECEIVED","","","0"
"BH1WALK","EYEBALL","DRAFT","NOT_SENT","NOT_RECEIVED","","","0"
